Prolific ID,condition,round,X Task,Y Task,X Revenue,Y Revenue,ratio,Corner,task_share1,task_share2,task_share3,ccei1,ccei2,ccei3,IOS_GPT,IOS_DS,IOS_Human,Improvement_scores1,Improvement_scores2,use AI at work,use AI out of work,AI_days1,AI_days2,AI_hours1,AI_hours2
5588cf75fdf99b304dd47cbd,1,1,93.0,7.0,1.0,0.35,0.06999999999999995,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,2,14.0,86.0,0.2,0.8,0.1400000000000001,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,3,55.0,45.0,0.62,0.59,0.45000000000000046,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,4,93.0,7.0,0.99,0.67,0.07000000000000028,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,5,50.0,50.0,0.8,0.8,,,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,6,100.0,0.0,1.0,0.25,0.0,1.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,7,50.0,50.0,0.6,0.6,,,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,8,30.0,70.0,0.39,0.8,0.29999999999999993,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,9,88.0,12.0,0.8,0.39,0.11999999999999969,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,10,10.0,90.0,0.35,1.0,0.1,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,11,84.0,16.0,0.74,0.5,0.16000000000000014,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,12,0.0,100.0,0.25,1.0,0.0,1.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,13,40.0,60.0,0.78,0.82,0.3999999999999986,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,14,30.0,70.0,0.5,0.74,0.3000000000000001,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,15,95.0,5.0,1.0,0.49,0.04999999999999995,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,16,0.0,100.0,0.49,1.0,0.0,1.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,17,81.0,19.0,0.8,0.28,0.18999999999999992,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,18,0.0,100.0,0.67,0.99,0.0,1.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,19,80.0,20.0,0.8,0.2,0.2,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,20,40.0,60.0,0.59,0.62,0.40000000000000097,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,21,60.0,40.0,0.82,0.78,0.3999999999999986,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,1,22,25.0,75.0,0.28,0.8,0.25,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,1,95.0,5.0,1.0,0.35,0.05,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,2,15.0,85.0,0.2,0.8,0.15,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,3,30.0,70.0,0.62,0.59,0.7000000000000005,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,4,90.0,10.0,0.99,0.67,0.10000000000000009,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,5,50.0,50.0,0.8,0.8,,,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,6,95.0,5.0,1.0,0.25,0.05,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,7,50.0,50.0,0.6,0.6,,,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,8,15.0,85.0,0.39,0.8,0.15000000000000013,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,9,75.0,25.0,0.8,0.39,0.25,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,10,5.0,95.0,0.35,1.0,0.05,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,11,77.0,23.0,0.74,0.5,0.23000000000000043,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,12,5.0,95.0,0.25,1.0,0.05,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,13,35.0,65.0,0.78,0.82,0.3500000000000014,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,14,35.0,65.0,0.5,0.74,0.35000000000000026,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,15,95.0,5.0,1.0,0.49,0.04999999999999995,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,16,5.0,95.0,0.49,1.0,0.04999999999999995,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
5588cf75fdf99b304dd47cbd,2,17,70.0,30.0,0.8,0.28,0.2999999999999999,0.0,49.18181818181818,51.27272727272727,44.45454545454545,0.99,0.9983333333333333,1.0,1,1,1,18,15,1,1,2.0,5.0,2,2
